title,storeCode,location_id,address,city,state,postalCode,latitude,longitude,place_id,maps_url,status
Citykart Siswan dhala Siwan,SWN,locations/16404227621735963442,"Station Road, Siswan Tola, Near Anabia Plaza",Siwan,Bihar,841239,26.2109538,84.363018,ChIJh1yGOaj7kjkR1jb0QrN7ajY,,OPEN
Citykart,GRD,locations/12139742431266430026,"No. 729, New Jamua Road, New Barganda, Beside Bank of Baroda ATM",Giridih,Jharkhand,815301,24.1862977,86.3071411,ChIJkWT-bABV8TkR69bc3Eexf7s,,OPEN
Citykart Simri Bakhtiyarpur Saharsa,SBP,locations/7532536129685593950,"Medni Complex, Block Chowk, Simri Bakhtiyarpur.",Saharsa,Bihar,852127,25.7225552,86.5876398,ChIJ53AtZJcj7jkRrN_6nncGZqg,,OPEN
Citykart Mauranipur Jhansi,JMR,locations/8360164174808215826,"City Center, Garautha Chauraha, Mauranipur",Roni,Uttar Pradesh,284204,25.2584044,79.1445106,ChIJS67iwhYdeDkR4OuxMleNKlA,,OPEN
Citykart Dumrao,DMR,locations/1607310005324843093,"101 Nimej Tola, Main Road Dumrao, Bihar",Buxar,Bihar,802119,25.5517235,84.1469384,ChIJZ4rMZdZ5kjkRAchy1vBSWc4,,OPEN
Citykart Chappra,CPR,locations/6229689521649402809,"Saran Complex, Dak Bunglow Road, Saran, Sadhapur",Chapara,Bihar,841301,25.7800032,84.7397082,ChIJOxGehP27kjkR18WT2_pItDs,,OPEN
Citykart Karond,BKR,locations/7900793467238899754,"No. 3, Govind Complex, Karond Bypass Road, Karond, Beside HDFC Bank",Bhopal,Madhya Pradesh,462038,23.3028522,77.4032662,ChIJYWLIhtRpfDkRrYA5ALgFXfI,,OPEN
Citykart Gulmohar,BGM,locations/8766994663028226755,"Plot No. 188 situated on the land parcel, Babadian Kalan, Near national , Housing Board",Bhopal,Madhya Pradesh,462039,23.1929715,77.435611,ChIJNdVC-z5DfDkRqpme--f2JNw,,OPEN
CityKart Sonepur,SNP,locations/155186534899391043,"No. 524, Biramitra Road, Near Central Bank of India",Sonepur,Odisha,767017,20.8444546,83.9097001,ChIJFVBuYgDnIzoRxZm4wHnskf8,,OPEN
Citykart Mall,PKR,locations/9355457494830693084,"Kankarbagh Main Road, Sandalpur, Above MRF Tyres",Patna,Bihar,800026,25.6009585,85.1805326,ChIJR_n3IgBZ7TkR8ac46u8OZu4,,OPEN
CityKart,PTS,locations/512204373544366312,"near phulwari sharif thana, golambar, Phulwari Sharif",Patna,Bihar,801505,25.5766042,85.0676507,ChIJCdVzlUep8jkR3JxFfnOUHFs,,OPEN
Citykart Brijbihari Marg Muzaffarpur,MBR,locations/13747973336170926113,Brijbihari Marg Near Brahmpura Thana (Pasad Hospital),Muzaffarpur,Bihar,842003,26.6497725,84.9125562,ChIJMdA2AbY1kzkRRb6Ae9xBczE,,OPEN
Citykart,KHR,locations/15302100155698778108,"Dr.Rajendar parsad road, Amla Tola Road, Mangal Bazar",Katihar,Bihar,854105,25.5443418,87.5686238,ChIJyXwfbfKp-jkRtXfwPHoSqtg,,OPEN
Citykart Bhagwanpur Muzaffarpur,MBG,locations/10233808192525398370,"Rewa Road, Bishundatpur, Near Shiv Mandir",Muzaffarpur,Bihar,843113,26.1203654,85.3463783,ChIJg2GSt_YX7TkRTwI1BQNL51E,,OPEN
Citykart Telibagh Lucknow,LTL,locations/10369793978242032392,"Raibareli Road, Telibagh, Near Big Fashion Bazar",Lucknow,Uttar Pradesh,226002,26.7806905,80.9425634,ChIJOcC-zYX7mzkR9gU-LjURRGw,,OPEN
City Kart,DRA,locations/16359069745085604321,"Bhatwaliya Road, Bhatwaliya, Beside Police Station",Deoria,Uttar Pradesh,274001,26.4889099,83.7803156,ChIJdwhct0PFkzkRB7lWDR4PHI0,,OPEN
Citykart,LPR,locations/14260597890826549461,"Mela Maidan Road, nearby Govind dairy, Khaprel Bazar",Lakhimpur,Uttar Pradesh,262701,27.9515309,80.777489,ChIJOd8Pkxo1nzkRN7AZjIfbd5o,,OPEN
CityKart Jorhat,JRT,locations/16717648779880794456,"ABS Mall, Mariani Road, Gar Ali Market, Gar Ali",Jorhat,Assam,785001,26.7542593,94.218096,ChIJ6UsZdU_DRjcRCOe0tMot3KQ,,OPEN
CityKart Madhubani,MMR,locations/18234231177881428934,"Ward No.8, Surat Ganj, Opposite SBI ATM",Madhubani,Bihar,847211,26.3478354,86.0722703,ChIJiQMYqa7N7TkR2Lsw1-m9aZ4,,OPEN
Citykart Buxar,BAR,locations/6818056422742234185,"Ground & First Floor, Satyadevganj Main Road, Ramrekha Ghat, Near Bank Of India",Buxar,Bihar,802101,25.5735178,83.9742257,ChIJbwXi66d1kjkRRiE1ana9HqY,,OPEN
Citykart Guwahati,GWT,locations/13338460562406504773,"Suncity Complex, Assam Trunk Road, Adabari, Opposite Bijarnia Hardware",Guwahati,Assam,781012,26.1579315,91.6822025,ChIJbTPbYxJbWjcR65FhgovyZLc,,OPEN
Citykart,FGN,locations/5460447071177483927,"Ard No-4, Citykart stores Pvt Ltd, Old, Post Office Road, opp. Kali Mandir, near Axis Bank",Forbesganj,Bihar,854318,26.3078835,87.2594807,ChIJy0YvTSif7zkRi5i6opdXh1c,,OPEN
City Kart,SPR2,locations/13435254347523248780,"Bahadurganj Road, Sadar Bazar, Beside Jai Mata Di Mandir",Shahjahanpur,Uttar Pradesh,242001,27.8844253,79.9137358,ChIJM8-Ugje9nzkRwzYjb1tYVfc,,OPEN
CityKart Gorakhpur Barhalganj,GBG,locations/15615541427713976592,"College Road, Chillupar, Above HDFC Bank",Barhalganj,Uttar Pradesh,273402,26.2882542,83.5045164,ChIJh51KJAB_kTkRWbkeQFpvpPo,,OPEN
Citykart Samastipur Laxmi cinema,NSM,locations/5203261343513274230,"No. 18, Nayanagar - Dudhpura Road, Gudari Bazar, Opposite Laxmi Talkies",Samastipur,Bihar,848101,25.8658296,85.7838146,ChIJ94YgLKKR7TkRrpF9ewr6C8E,,OPEN
Citykart Mirganj,GPG,locations/4934831139697330726,"Mirganj Thana More, Marachhiya chowk, Gopalganj",MIrganj,Bihar,841438,26.3680794,84.3340279,ChIJcccOM1IBkzkRgup8fgTNOkA,,OPEN
Citykart,MRP,locations/7183239466056103456,"No. 539/8, Govind Plaza, Badli Katra Road, Dankinganj",Mirzapur,Uttar Pradesh,231001,25.1445054,82.5705293,ChIJs_WALi3AjzkRPxfxmNsswoc,,OPEN
CityKart,VRS,locations/13382095921644876562,"Fatman Road, Kashi Vidyapith, Chetganj, Opp. Max",Varanasi,Uttar Pradesh,221002,25.3187659,82.9908238,ChIJfaWH1OItjjkRdQ_7_Dq3b1s,,OPEN
CityKart Barabanki,BRB,locations/13745903054250091409,"Shri Sai Plaza, Faizabad Road, Preet Vihar Colony, Civil Lines, Near Domino'S Pizza",Barabanki,Uttar Pradesh,225001,26.9238621,81.1780902,ChIJdbmEu8VhmTkRZ-KpMyqX_Ow,,OPEN
Citykart Jamui,JMI,locations/13178906502100443325,"Ground Floor & 1st Floor, Government Bus Stand Road, Near Hotel JP Grand",Jamui,Bihar,811307,24.9323498,86.2279773,ChIJe2ddVwAr8jkRvHQ64HCl9Cw,,OPEN
Citykart Udaipur,UDP,locations/14351530523476982363,"Plot No.-441, Bhagyam Business Centre, Hiran Magri, Sec-12, Udaipur",Udaipur,Rajasthan,313002,24.5465477,73.7078149,ChIJ7fyldhfvZzkRVDpD6K3deyk,,OPEN
Citykart Kathhal nala pul Ballia,BLA,locations/11792021924159777282,"Lucknow Road, Baheri, Near Hajipur Road Bridge",Ballia,Uttar Pradesh,277001,25.7570773,84.1442082,ChIJuZD1QU5lkjkRJFX69zzqp9M,,OPEN
Citykart Pilibhit,PLB,locations/18400591718945850503,"No. 409, Urmil Complex, Chatarichurahatankpur Rd, Ballabh Nagar Colony, Near Avadh School",Pilibhit,Uttar Pradesh,262001,28.6224229,79.8121175,ChIJS1FnLs8_oDkR8BjZRfxPqVk,,OPEN
Citykart Mahnar bazar,MNR,locations/17167616477931076749,"Government hospital, Mahnar bazaar",Vaishali,Bihar,844506,25.614155,85.486576,ChIJ__c-WWx97TkR_dYsjbqpIEw,,OPEN
CityKart,JCL,locations/8652114496619815704,"No. 239/1, Civil Lines, Rai Colony, Near ICICI Bank",Jhansi,Uttar Pradesh,284001,25.4440879,78.5769628,ChIJebCbZy93dzkRZ3gFI96sES0,,OPEN
Citykart Rasal Chowk Jabalpur,JRC,locations/13008226064832623761,"Plot No.3/49-A, Civil Station, Kabir Marg, Napier Town, Swami Dayanand , Saraswati Ward, Adhartal, Jabalpur",Jabalpur,Madhya Pradesh,482002,23.1663583,79.9377669,ChIJ3-RZ4VOvgTkRawu6EzloWms,,OPEN
Citykart Mughalsarai,MSR,locations/2823178725394365558,"GT Road, Subhash Nagar, Near Columbia Fitness",Mughalsarai,Uttar Pradesh,232101,25.2853514,83.1120511,ChIJ2ejW8KM7jjkRV5jKi4hgCrk,,OPEN
Citykart Madhepura Manokalp heights,MDP,locations/11740782392485875394,"Saharsa Road, Beside Trends",Madhepura,Bihar,852113,25.9097449,86.7838299,ChIJPe0Wpyc37jkRHiioYcaduIg,,OPEN
Citykart Balrampur,BRP,locations/1871104657589962143,"Tulsipur Road, Motisagar, Beside Punjab National Bank",Balrampur,Uttar Pradesh,271201,27.431701,82.1830368,ChIJFz50iknZmTkRkehJ2Geuz3Q,,OPEN
CityKart Sheohar,SHO,locations/5159562654051919555,"NH 227, Zero Mile, Near Royal Enfield",Sheohar,Bihar,843329,26.5144683,85.3012376,ChIJ6aiHcQDn7DkR5_AoCQcn8uY,,OPEN
Citykart Sharda Chowk Jabalpur,JBP,locations/4985295262990673610,"Mcastro Fortune, Sharda Chowk, Nagpur Road, Jabalpur",Jabalpur,Madhya Pradesh,482001,23.1539414,79.9072732,ChIJL1ztXCCxgTkRP25gjMaZZ50,,OPEN
Citykart Sitamarhi,STM,locations/6379980243586944395,"No. 24, Station Road, Malahi, Near Hotel Payal",Sitamarhi,Bihar,843302,26.5941102,85.5016798,ChIJiYbBPvjx7DkROeXysLwGhyk,,OPEN
Citykart Laheriasarai Darbhanga,DLS,locations/12015761895722979139,"Meena Aurum, Vip Main Road, Benta, Laheriasarai, Near Elite Petrol Pump",Darbhanga,Bihar,846001,26.1268761,85.9028383,ChIJgb157Vi47TkRWGrf2UU00vs,,OPEN
Citykart Nautanwa,NTV,locations/2053402793375528707,"No. 9, Ghandhi Chowk Road, Nautanwa Bazar, Opp. Fancy Marbles and Tiles",Nautanwa,Uttar Pradesh,273164,27.4315809,83.4242786,ChIJIWknXCiYljkRQJBpnsyfvU8,,OPEN
CityKart Rasra Ballia,BLR,locations/3581007232081921311,"Station Road, Hazir Bakhsh Nagar, Near Puspa Homiyo Chikitsalay",Rasra,Uttar Pradesh,221712,25.861362,83.8553938,ChIJd6CJKQAVkjkRsU_2Wk8AW2o,,OPEN
Citykart,HRD,locations/16455231724332072976,"Ashirvad Complex, Dharamshala Road, Sader Bazar, Beside The Raymond Shop",Hardoi,Uttar Pradesh,241001,27.3938968,80.1313215,ChIJ4cdg2Mn5njkR8lHM-MUAUGs,,OPEN
Citykart Madhepura,MCR,locations/885167834323589603,College Road Madhepura,Madhepura,Bihar,852112,26.0340801,87.0024407,ChIJezkUqwS37zkRuuBA-x1MxbY,,OPEN
Citykart,RKT,locations/10659321683581831545,"NH 75, Hindalco Colony, Opposite Bus Stand",Renukoot,Uttar Pradesh,231217,24.2165822,83.0350235,ChIJi-DEtmzbjjkR6qUGEro6j4I,,OPEN
Citykart Budgam,BDG,locations/16954679769204596713,"Meer Mall.near HDFC Bank, main Srinagar Budgam road",Budgam,Jammu and Kashmir,191111,34.0182981,74.7237204,ChIJ0UHwUsuR4TgR33yQCdr_ZwI,,OPEN
Citykart Dildarnagar,DNG,locations/5387840167264922965,"Saraila Road, Above Bank of Baroda",Dildar Nagar,Uttar Pradesh,232326,25.4172267,83.6708714,ChIJ5XctGqb9jTkR0SrrynbcHrA,,OPEN
Citykart Kanpur,KGN,locations/11678288614779925576,"No. 125/13/1-C, Parag Dairy Road, Chawla Market, Govind Nagar, Near Rachna Sarees",Kanpur,Uttar Pradesh,208006,26.4478589,80.3091249,ChIJ-dH-wxtHnDkRwdTmv-TQwUs,,OPEN
Citykart Jhalwa,AJL,locations/13355838417511343245,"Ghunghru Chauraha, Devprayagam Colony, Jhalwa, Prayagraj, Dadanpur",Prayagraj,Uttar Pradesh,211012,25.4354551,81.7719968,ChIJwW8ABSDNmjkRp585a5comPY,,OPEN
Citykart Balua chowk Motihari,MTH,locations/1383317232319849921,"Balua - Chandmari Road, Netajee Subhash Colony, Near Jagdamba Complex",Motihari,Bihar,845401,26.647295,84.9034566,ChIJk4Imv0g1kzkRGkpF-kLMsio,,OPEN
Citykart Supaul,SPL,locations/12562120841400266558,"Durga Complex, Main Road, Near Gandhi Maidan",Supaul,Bihar,852131,26.1172175,86.5974062,ChIJP770avZD7jkRdWtOBsy9COI,,OPEN
CityKart Bettiah,BTA,locations/17109852928576327581,"Supriya Cinema Road, Kamalnath Nagar, Opposite Old Lic Building",Bettiah,Bihar,855438,26.8053642,84.5146702,ChIJCUJLk3tvkzkRrfC8vwc7QpA,,OPEN
Citykart Bihariganj Madhepura,MBI,locations/2017278468211423880,BBS Plaza near Bus stand,Madhepura,Bihar,852101,25.7309328,86.9871645,ChIJoSYZkBzR7zkRdI1y_fU4Emw,,OPEN
Citykart,BRD,locations/14514036423909579144,"2H7W+JQQ, National Highway 927",Rupaidiha,Uttar Pradesh,271881,28.0141092,81.5969482,ChIJ2T3PKABfmDkROPPJbSmLPws,,OPEN
Citykart Mahoba,MBA,locations/449453558319286147,"No. 301, Main Road, Makaniya Purva, Opp. UCO Bank",Mahoba,Uttar Pradesh,210427,25.2912192,79.883157,ChIJg9PqKBTNgjkR75lX1atevq4,,OPEN
Citykart Mohania,MHN,locations/15712740723946507467,"No. 104, Mohania - Buxar Road, Beside Union Bank",Mohania,Bihar,821109,25.1657727,83.6247044,ChIJVzd8BgDhjTkRghUJsYgCz54,,OPEN
Citykart Kharagpur,KGP,locations/10919545658775166563,"Lat Sahab Complex, Azimganj, Near Registry Office Haveli ,Kharagpur, Munger",Kharagpur,Bihar,811213,25.1212005,86.5497187,ChIJQcKbL2OX8TkR6gcES1rHHsg,,OPEN
Citykart Mall Munsipulia,LMP,locations/7015364434525584812,"Jama Masjid Road, Sector 12, Indira Nagar, Opposite HDFC Bank ATM",Lucknow,Uttar Pradesh,226016,26.885032,80.9965905,ChIJDba3kyjjmzkRt91EmZUbpzY,,OPEN
Citykart,GDA,locations/12124198831299328651,"Bankatwa, Bharatpuri, Beside Indian Oil",Gonda,Uttar Pradesh,271003,27.1397959,81.9658169,ChIJu7pxz7rvmTkR3aCMd0NSNAw,,OPEN
Citykart,AMP,locations/215952294190052970,"No. 374, Ghadi Chowk, Ward Number 14, Beside Indusind Bank",Ambikapur,Chhattisgarh,497001,23.1274416,83.1905744,ChIJsUVj0SOjiTkRFpN65ycwnOQ,,OPEN
CityKart Mokama,MKM,locations/11201511119369287738,"Mokama Market, Gaushala Road, Mokama",Patna,Bihar,803302,25.393403,85.9219794,ChIJazyuCwZt8jkRZ9r8DIRCFcg,,OPEN
Citykart,SPR,locations/1080122235886632498,"Mor, Kachcha Katra More Road, near Syyed Petrol Pump",Shahjahanpur,Uttar Pradesh,242001,27.8697308,79.9072247,ChIJM6jrSNy9nzkRUiPHmlCX5O0,,OPEN
Citykart Naini,NNI,locations/18326195532264688645,"No. 13/9, Mirzapur Road, Naini, Near Peter England",Prayagraj,Uttar Pradesh,211008,25.3917616,81.8637594,ChIJo2alYng1hTkReRjCkhQf2mA,,OPEN
Citykart Jodhpur,JDP,locations/4817436288350508264,"7XGV+QHW, TV Tower Rd, Masuria Colony, Baldev Nagar, Jodhpur",Jodhpur,Rajasthan,342008,26.2770055,72.9939626,ChIJwxMdbSiNQTkRDNejYd8zD04,,OPEN
Citykart,JPC,locations/6400394876036382638,Olandganj,Jaunpur,Uttar Pradesh,222002,25.7380109,82.67491,ChIJCfW-M-s7kDkRJj3sAcF0Tjw,,OPEN
CityKart Ranchi,RBR,locations/16930906758318089703,"Bajra - Bariatu Road, Bariatu, Near Alam Hospital",Ranchi,Jharkhand,834009,23.3985271,85.3550817,ChIJ-0-0LQDj9DkRfm3kET71IqI,,OPEN
CityKart Bhootnath Patna,PBM,locations/7079687785635902282,"Bhootnath Road, Bahadurpur Housing Colony, Chitragupta Nagar, Opp. SBI Bank",Patna,Bihar,800026,25.5988016,85.1751574,ChIJjzc4CiRZ7TkRk0mMEfPVPjY,,OPEN
Citykart Goalpara,GLP,locations/5312448053233303605,"Goalpara - Guwahati Road, Geetanagar, Beside Life Care Hospital",Goalpara,Assam,783101,26.1616034,90.6218588,ChIJhReij_ezWTcRqV98MdwC9pI,,OPEN
Citykart Siwan Babuniya more,SBM,locations/1963103383618648613,"Rajendra Path, Pal Nagar, Near TRENDS",Siwan,Bihar,841226,26.2220311,84.366644,ChIJv0YEgur9kjkRq3mFDiwTa5E,,OPEN
CityKart Kapashera,KPH,locations/13840359901773684249,"Rao Uday Ram Complex, Old Delhi Gurgaon Road, Kapas Hera, Near SBI",West Delhi,Delhi,110037,28.5234061,77.0827348,ChIJPXhvNBUdDTkR0P7ydnmyTV4,,OPEN
Citykart Dhaka Motihari,MDH,locations/15391123453420703522,"Alam Tower, Pakri dayal road, Azad chowk, Dhaka",Motihari,Bihar,845418,26.6726559,85.1631096,ChIJ8ZKMot_H7DkRbgHPqwztrK8,,OPEN
Citykart Mundera Gorakhpur,GRK,locations/14242006648779658609,"No. 394&392, Medical College Road, Jungle Dhusan, Nera Ashwani Jewellers",Gorakhpur,Uttar Pradesh,273013,26.8195295,83.4026384,ChIJG67AYABFkTkRyBNK827Df6U,,OPEN
Citykart Kishanganj,KPC,locations/12591436732863032897,"Loharpatti Road, Kochadhaman",Kishanganj,Bihar,855108,26.1050735,87.9522362,ChIJ5enMCgAX5TkRArkFs0zZV68,,OPEN
Citykart (Vats City Complex),TGR,locations/15771751610702261668,"01, Teghra - Station Road, Daniyalpur",Teghra,Bihar,851133,25.496183,85.9412082,ChIJiSDEUzgN8jkR8By-viZQBTw,,OPEN
"CityKart Mall, Jadhua",HJD,locations/8032031744174011958,"1st Floor, Mahnar Road, Jadhua",Hajipur,Bihar,844101,25.6723432,85.2354114,ChIJxxqbLQBf7TkRhMRxrpk6K2I,,OPEN
Citykart Adil nagar Lucknow,LAD,locations/10360635036729991009,"Shopping Square, 163, Kursi Highway, Adil Nagar",Lucknow,Uttar Pradesh,226001,26.9083339,80.9561828,ChIJA_fwXLhXmTkRizPFFE1CRos,,OPEN
Citykart Chhindwara,CNW,locations/14858026331791160487,"Radha Rani Complex, Sinchai Colony, Mohan Nagar, Near Narmada Diagnostic Clinic",Chhindwara,Madhya Pradesh,480001,22.0583673,78.9340161,ChIJuTiKFbBn1TsRbU9gWBd9B2U,,OPEN
CityKart Muzzafarpur,MZM,locations/6909816956328138260,"Avdhesh Rai Complex, Akharaghat Road, New Zero Mile, Shekhpur",Muzaffarpur,Bihar,842002,26.1455703,85.3884373,ChIJ1YZiFwAR7TkRcChu2KVgMUw,,OPEN
Citykart Sheikhpura,SKP,locations/15394855388216951213,"D.N. Plaza, VIP Road, Neha Machinery store",Sheikhpura,Bihar,811105,25.1343824,85.8399093,ChIJteafElBD8jkRfM4R5VkNnxw,,OPEN
Citykart,DMK,locations/12206167130202295320,"No. 7, Om Shanti Tower, Thana Road, Near Sido Kahnu High School",Dumka,Jharkhand,814101,24.2653523,87.2486741,ChIJTZtGEwC38DkRs0Emyb9saEs,,OPEN
Citykart Bazar Samiti,PBS,locations/4734531335137837937,"Bazaar Samiti Road, Bahadurpur, Beside Tanishk Banquet Hall",Patna,Bihar,800006,25.6060647,85.1725143,ChIJ2zVeDgBZ7TkRNwJOJgODxQA,,OPEN
Citykart Dimapur,DMP,locations/1970896186627199106,"Patta No. 1256, Dag No. 1467, Dhobinala Road, Dimapur, Nagaland",Dimapur,Nagaland,797112,25.9073629,93.7213188,ChIJC8YORYzhRTcR9B5ISqZpJ7c,,OPEN
Citykart,CTR,locations/17907358386787799610,"WH5M+7RJ, Naya Mohalla",Chhatarpur,Madhya Pradesh,471001,24.9076957,79.5832002,ChIJU8Tvi-2XgjkRT4VZ4KBFIzY,,OPEN
Citykart Rewa,REW,locations/11427556606230907166,"Mahesh Tower, Near super Speciality Hospital Amahiya Road, Rewa",Rewa,Madhya Pradesh,486001,24.536467,81.2970961,ChIJ5c9GD1lbhDkRrX4v3cjYY_k,,OPEN
Citykart Sitapur Road Lucknow,LTN,locations/9434391985011810692,"No. 538/002, Kanchan Mahal, Sitapur Road, Triveni Nagar Ward, Opp. Relief Hospital",Lucknow,Uttar Pradesh,226005,26.888942,80.9342876,ChIJP91DX_JXmTkRtggMTyVABH0,,OPEN
Citykart,SMB,locations/2068835965383840799,"Budharaja Road, Budharaja, Beside Meher Ganesh Bastralaya",Sambalpur,Odisha,768004,21.4819377,83.9804248,ChIJy7QqgVcXIToRLPBmRbz_ekE,,OPEN
CityKart Paltan bazar Guwahati,GPB,locations/1161162771055990551,"1st Floor, Assam Trunk Road, Paltan Bazaar, Near State Transport Corporation",Guwahati,Assam,781008,26.1807637,91.7504425,ChIJkSzwQSpbWjcRfXZK8sZ02PA,,CLOSED_PERMANENTLY
CityKart Kendrapara,KDP,locations/380013733833065185,"Chandabali Road, Opp. Tripathy Book Store",Kendrapara,Odisha,754211,20.5156661,86.3969638,ChIJ75a0UgDbGzoRR2w6nBCzVI8,,OPEN
Citykart,PNA,locations/14280117798451240189,"Roy Complex, Purnia - Siliguri Road, Navratan Hatta, Near Megashop",Purnia,Bihar,854302,25.7798895,87.479082,ChIJD3N73nT57zkRnnwFDLWTTGY,,OPEN
Citykart Tinsukia,TNS,locations/11748085246221202874,"Rangagora Road, Durgabari, Beside Lenskart",Tinsukia,Assam,786125,27.4918795,95.3509246,ChIJYxytJQBrPzcRi_tEKm53gZQ,,OPEN
Citykart Lakhisarai,LSR,locations/5204727484365904715,"Near Town Thana, Purani Bazaar, Mahavir Asthan, Lakhisarai",Lakhisarai,Bihar,811310,25.1769266,86.0954206,ChIJ-yncUicj8jkR4Jhs0v2cGvw,,OPEN
Citykart Naugachhia,NGC,locations/14617001927539054869,"Market Road, Naugachhia, Near Maharaj Jee Hotel",Naugachhia,Bihar,853204,25.3875337,87.0980493,ChIJZ76B26078DkR5htUfaCeheo,,OPEN
